Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,label,confidence
go6GEIrcvFY,UgxWNmqase6uFVzEgrV4AaABAg,2023-06-25T20:53:45Z,2023-06-25T20:53:45Z,0,😂😂. This is funny.,NON_HATE,0.9775762557983398
go6GEIrcvFY,UgzFGCNc6iilgw58I814AaABAg,2023-06-22T00:31:16Z,2023-06-22T00:31:16Z,0,"Shazam is the Elder that gave Billy Batson his powers to change to Captain Marvel. A 1941 Serial called The Adventures Of Captain Marvel was the first live action superhero movie.  DC Comics sued Whiz Comics but only stopped any live action movies from being made, but couldn't get the rights to the Captain Marvel name. The comic books continued through the 50s.  DC made a live TV show in the 60s but had to call it Shazam. It's a caricature of the Whiz Comics creation. More of a comedy with a buffoon as a superhero.",NON_HATE,0.9569097757339478
go6GEIrcvFY,UgwYTB2VOv3M1-2w3vd4AaABAg,2023-06-21T21:58:55Z,2023-06-21T21:58:55Z,0,Did they make this crappy movie to make us forget about Shazam from the 90's or 80's?,NON_HATE,0.9241582155227661
go6GEIrcvFY,Ugw_K1CjP3UZsw2hLV14AaABAg,2023-06-14T06:22:23Z,2023-06-14T06:22:23Z,0,"Wahiyat bekar lanati movie 
Waste of time",NON_HATE,0.973076343536377
go6GEIrcvFY,UgziCU43piJ_t0bCNtx4AaABAg,2023-05-25T21:23:02Z,2023-05-25T21:23:02Z,0,"I don't know much about the character, but I wonder why the emphasis on the 7 deadly sins. Actually the 7 sins aren't that old. Maybe less than 2,000 years old and the number of sins has varied.",NON_HATE,0.9731525182723999
go6GEIrcvFY,UgwQV5CavoRLeFwAwqh4AaABAg,2023-05-24T16:36:11Z,2023-05-24T16:36:11Z,0,"Who is Billy Batson?
Who did he protect at school? 
What happens when Billy Batson says ""Shazam""? Why?
What superpowers does he have? 
Who is the bad guy in the story?
What happened in the shop?",NON_HATE,0.9071940183639526
go6GEIrcvFY,UgxIMGJoulKZsIyYuDJ4AaABAg,2023-05-24T15:28:32Z,2023-05-24T15:28:32Z,0,"The Wonder Woman Gal Gadot is in this movie. She is in the end Scene as the daughter of Zeus, as the power of shazam is from Zeus itself. Sorry! I'm such a spoiler 😂",NON_HATE,0.8646929860115051
go6GEIrcvFY,Ugx-S8A1jxvjQVPJvth4AaABAg,2023-05-22T12:19:19Z,2023-05-22T12:19:28Z,0,This is the movie movie in the f world. I get tears in my eyes everytime the 4th time I'm watching it.,NON_HATE,0.9655831456184387
go6GEIrcvFY,UgzHsRwFCpKzlNkDmtl4AaABAg,2023-05-18T07:11:56Z,2023-05-18T07:11:56Z,0,[DOMINUSKING2022],NON_HATE,0.9748262763023376
go6GEIrcvFY,UgwA_DU6rlajaNzDxZR4AaABAg,2023-05-14T11:07:10Z,2023-05-14T11:07:10Z,0,This movie is my favorite! I love this I'm a idol! I LOVE YOU SHAZAM!,NON_HATE,0.9339436292648315
go6GEIrcvFY,Ugwuj5CdgKx5zOrqVXx4AaABAg,2023-05-09T13:17:48Z,2023-05-09T13:18:00Z,1,1:59 Oh God no…God please no…no…,NON_HATE,0.8943436145782471
go6GEIrcvFY,UgyGp0rSO6BR3fyFXfd4AaABAg,2023-05-08T21:43:39Z,2023-05-08T21:43:39Z,0,this movie is about Billy Batson asher angel is a streetwise 14 year old who can magically transform into the adult Super Hero Shazam! simply by shouting out one world. his newfound powers soon get put to the test when he squares off against the evil Dr. Thaddeus Sivana Mark Strong.,NON_HATE,0.8011422157287598
go6GEIrcvFY,UgxO9qJkYel9bs5ZelR4AaABAg,2023-05-08T02:28:58Z,2023-05-08T02:28:58Z,1,Dumb,NON_HATE,0.9780728220939636
