Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,label,confidence
u7JsKhI2An0,Ugw2vec00drZL8Q850B4AaABAg,2023-06-26T13:05:07Z,2023-06-26T13:05:07Z,0,"Disney +, how's the profit with She-Hulk?",NON_HATE,0.9726177453994751
u7JsKhI2An0,UgxrD2A4cXHmojmX-gp4AaABAg,2023-06-26T03:40:42Z,2023-06-26T03:40:42Z,0,"The only real reason people hate this is because she’s a female…🤦, I really hate the marvel community now. If anyone try’s to comment on this I really don’t care what you say.",NON_HATE,0.8074830770492554
u7JsKhI2An0,UgwO-znFC6JaJmAV09N4AaABAg,2023-06-22T12:16:55Z,2023-06-22T12:16:55Z,0,This show probably was like the straw that broke the camels back on Hollywood because OMG when I say after this show EVERYTHING I hear people say in entertainment has been Woke in some form and it's kind of annoying that everything is turning woke now just like things before She-hulk was already woke themselves.,NON_HATE,0.8028013110160828
u7JsKhI2An0,UgwheLMY7_bMgrBK3Mh4AaABAg,2023-06-22T04:11:21Z,2023-06-22T04:11:21Z,0,M-She-U 😂,NON_HATE,0.9670609831809998
u7JsKhI2An0,UgwWIOoT9dss7PmZGqN4AaABAg,2023-06-21T02:28:15Z,2023-06-21T02:28:15Z,1,"This is the WORST SHOW EVER MADE IN MARVEL!!! Here's why:

- Wokeness, that the story is a mess
- the CGI is so bad, it's so laughable
- unfaithful to comics
- they ruined Daredevil
- absolute cringe",HATE,0.5161587595939636
u7JsKhI2An0,UgxLlSR586pVmNJQNLN4AaABAg,2023-06-18T23:28:48Z,2023-06-18T23:28:48Z,0,"they actually went for ""she"" hulk and not ""they/them"" hulk instead. those extreme feminist is probably raging at this pronouns 🤣",HATE,0.8279961943626404
u7JsKhI2An0,Ugx8FXQ3gTfd5AaVlxR4AaABAg,2023-06-18T06:06:33Z,2023-06-18T06:06:33Z,0,Trash,NON_HATE,0.9780728220939636
u7JsKhI2An0,Ugyds46MVFtOjd2vRfZ4AaABAg,2023-06-17T12:04:50Z,2023-06-17T12:04:50Z,0,Worst WRITING EVER,NON_HATE,0.9474619030952454
u7JsKhI2An0,UgzUw309Gq2wuaU1Pj94AaABAg,2023-06-15T09:36:23Z,2023-06-15T09:36:23Z,2,Ironman khatam marvel bhi khatam😂😂😂😂😂😂,NON_HATE,0.962455689907074
u7JsKhI2An0,UgxbcynjO5yaJSS59b54AaABAg,2023-06-14T21:10:57Z,2023-06-14T21:10:57Z,1,This looks like trash it feels so forced,NON_HATE,0.9739800691604614
u7JsKhI2An0,UgxKrqdfFniSmp5wkgF4AaABAg,2023-06-14T17:46:11Z,2023-06-14T17:46:11Z,1,Now Marvel  make feminism😂,NON_HATE,0.9444032311439514
u7JsKhI2An0,Ugx9knMA83TXTpbGB2t4AaABAg,2023-06-14T16:50:41Z,2023-06-14T16:50:41Z,2,"Let's stop the cap, this movie was a failure!
Nothing good came out of it, it's like forcing LGBT agenda on us",NON_HATE,0.9452958106994629
u7JsKhI2An0,UgxnWMw3613yBr5PE_Z4AaABAg,2023-06-13T22:34:02Z,2023-06-13T22:34:02Z,1,For this day thanos wanted to snap his finger,NON_HATE,0.9495383501052856
u7JsKhI2An0,UgzAy4s2uV_skA8NUi14AaABAg,2023-06-13T16:16:35Z,2023-06-13T16:16:35Z,0,They need to hire better writers and directors for s2,NON_HATE,0.9715151786804199
u7JsKhI2An0,UgzfPNdVcv8Extval2V4AaABAg,2023-06-12T17:31:01Z,2023-06-12T17:31:01Z,1,What the hell is this peace of crap,HATE,0.6343992352485657
u7JsKhI2An0,Ugxyq5Hm0CsVnqitJq54AaABAg,2023-06-11T19:37:45Z,2023-06-11T19:37:45Z,2,Anyone who defends this show are idiots,NON_HATE,0.565828263759613
u7JsKhI2An0,Ugw8jPmysyV20jldpX54AaABAg,2023-06-11T16:14:51Z,2023-06-11T16:14:51Z,2,feminist movie,HATE,0.6428548693656921
u7JsKhI2An0,UgxIIuXVZfqHIyYPrTF4AaABAg,2023-06-09T17:42:25Z,2023-06-09T17:42:25Z,0,Even 2015 Fant4stic is better than this,NON_HATE,0.9728556275367737
u7JsKhI2An0,UgxEdhr7tRs8N0qb_H94AaABAg,2023-06-08T20:28:37Z,2023-06-08T20:28:37Z,1,💩💩💩🤢🤮🤮🤮🤮,NON_HATE,0.9780728220939636
u7JsKhI2An0,UgwZwLk8SF7XREwFjM14AaABAg,2023-06-07T17:44:53Z,2023-06-07T17:44:53Z,2,"This is, by a considerable margin, the worst TV-Show I have ever watched.",NON_HATE,0.9614924192428589
u7JsKhI2An0,Ugxqi9RYnwfK7pOY_wJ4AaABAg,2023-06-06T03:09:13Z,2023-06-06T03:09:13Z,0,I need more 😊,NON_HATE,0.9497429132461548
u7JsKhI2An0,Ugyl-jUss80xVWHCf3J4AaABAg,2023-06-06T03:08:28Z,2023-06-06T03:08:28Z,0,"D
..k a I love that girl",NON_HATE,0.954730749130249
u7JsKhI2An0,Ugyyc0RKzsJo3CUIvid4AaABAg,2023-06-06T02:30:33Z,2023-06-06T02:30:33Z,1,This show could’ve been so much more,NON_HATE,0.9737116694450378
u7JsKhI2An0,UgxH5L2KA08WcWlsDpB4AaABAg,2023-06-06T02:07:37Z,2023-06-06T02:07:58Z,1,"When I think woke Hollywood could not get more stupid, they keep amazing me",NON_HATE,0.942528486251831
u7JsKhI2An0,Ugwd-f1pqH1BpBvOpZx4AaABAg,2023-06-04T06:08:26Z,2023-06-04T06:08:26Z,0,Hulk - family is everything,NON_HATE,0.9741963744163513
u7JsKhI2An0,Ugw6sONWe0OYsrmFcoV4AaABAg,2023-06-04T03:14:35Z,2023-06-04T03:14:35Z,0,So this is how MCU ended,NON_HATE,0.9729539752006531
u7JsKhI2An0,UgwHKFDrcV2pvRPPMOx4AaABAg,2023-06-02T22:08:22Z,2023-06-02T22:08:22Z,0,Bro i love this irl version of shrek!,NON_HATE,0.9324712157249451
u7JsKhI2An0,UgzOHAueShkYSmm6yeF4AaABAg,2023-05-31T16:23:22Z,2023-05-31T16:23:22Z,0,so inspirational the story is so overwelming and impressive and the lore omg so good my favorite moment was when she clapped and then twerked truly one of the she moments of all time then she proceeded to twerk all over the place so inspirational,NON_HATE,0.965286135673523
u7JsKhI2An0,UgykNzoKW4e0YsEvc-h4AaABAg,2023-05-31T15:51:15Z,2023-05-31T15:51:15Z,0,"Dang, they caught Ringo. Did Yolanda get away?",NON_HATE,0.9467027187347412
u7JsKhI2An0,UgyBWeyNGBKcvCrEJhB4AaABAg,2023-05-31T07:24:56Z,2023-05-31T07:24:56Z,0,"Ohh please, now they're portraying woman stronger and better then men in cartoons and CGI too, go woke,go broke 😅",NON_HATE,0.8487178087234497
